Название,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Российская Федерация,"784,28","936,71","1044,78","1116,6","1254,28","1406,65","1506,78","1879,99","2159,42","2192,72","2768,69","2437,44","2662,15","2922,88","3592,51","3627,07","3726,36","3787,77","4065,66","4096,05","4507,38","5427,18","5600,33"
Центральный федеральный округ,"775,98","965,17","1092,91","1126,55","1282,42","1425,28","1503,55","1870,09","2150,54","2197,86","2848,03","2454,84","2709,92","2982,05","3714,06","3686,92","3825,83","3890,95","4244,53","4270,16","4686,06","5647,74","5853,69"
Белгородская область,"670,7","837,38","924,55","947,17","1065,11","1200,73","1330,84","1625,5","1848,17","1863,33","2380,75","1998,88","2202,33","2468,03","3111,51","3022,26","3089,16","3142,75","3470,42","3438,79","3795,01","4564,04","4565,24"
Брянская область,"672,84","834,87","906,37","970,85","1071,64","1220,97","1298,09","1629,9","1871,45","1966,48","2523,13","2096,2","2300,82","2545,82","3178,98","3297,66","3401,25","3462,83","3796,63","3884,12","4233,85","5148,52","5312,3"
Владимирская область,"693,2","883,59","978,23","1023,1","1178,82","1309,83","1416,35","1890,77","2113,32","2110,85","2746,78","2380,2","2571,46","2851,31","3610,87","3460,86","3547,91","3609,38","3970,83","3981,3","4420,91","5236,36","5433,89"
Воронежская область,"667,31","843,33","960,67","971,64","1153,64","1312,23",1351,"1805,9","2123,13","2100,7","2741,12","2095,93","2366,24","2696,5","3247,15","3242,08","3350,95","3366,23","3703,27","3473,08","3879,29","4744,78","4959,02"
Ивановская область,"680,72","868,48","973,81","1007,83","1122,37","1239,34","1319,39","1702,95","1941,98","1926,33","2677,55","2257,62","2578,66","2896,73","3611,31","3595,21","3708,85","3768,16","4068,41","4025,2","4489,63","5333,04","5565,26"
Калужская область,"732,86","931,41","1069,3","1077,8","1212,42","1367,84","1396,84","1741,2","1956,23","1948,34","2548,52","2124,08","2332,94","2638,81","3326,33","3350,9","3506,28","3717,82","4030,47","3962,45","4518,9","5269,72","5585,57"
Костромская область,"662,14","848,27","1008,87","1050,05",1161,"1269,08","1354,16","1747,3","2051,2","2033,42","2702,3","2321,62","2530,59","2749,09","3390,81","3381,66","3583,17","3661,24","3900,34","3949,79","4428,06","5354,69","5539,78"
Курская область,"675,76","828,22","905,68","1017,28","1150,72","1169,88","1296,18","1712,5","1939,19","1908,21","2478,17","1982,31","2076,4","2317,83","2864,56","2937,66","3069,46","3067,6","3439,09","3486,24","3851,05","4885,18","4954,05"
Липецкая область,"690,79","839,73","921,58","915,01","1065,02","1214,46","1254,77","1633,22","1913,92","1878,64","2464,51","2060,84","2215,2","2419,06","3016,18","3045,42","3084,26","3101,78","3431,56","3469,4","3992,34","4739,68","4693,49"
Московская область,"789,36","984,02","1088,03","1163,33","1289,1","1407,72","1487,81","1869,69","2175,2","2231,91","2765,6","2434,51","2642,59","2955,49","3645,04","3649,65","3817,34","3932,43","4274,15","4283,86","4706,85","5683,66","5906,2"
Орловская область,"656,92","826,09","935,7","963,96","1144,22",1236,"1290,75","1659,9","1894,57","1991,78","2586,55","2204,85","2357,89","2613,43","3353,54","3326,12","3447,06","3466,46","3834,56","3799,86","4151,83","5114,79","5263,25"
