Название,Продукт,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Томская область,"Пельмени, манты, равиоли, кг",,,,"63,64","83,16","90,35","96,83","106,89","138,07","142,45","165,52","178,04","189,44","201,34","223,49","254,19","259,18","255,63","275,36","284,88","295,3","355,77","371,15"
Томская область,"Печень говяжья, кг",,,"55,06","62,07","83,16","106,86","105,44","109,65","123,12","119,61","131,67","139,93","137,29","130,21","207,4","220,03","228,06","230,71","242,36","254,63","249,73","305,94",
Томская область,"Говядина (кроме бескостного мяса), кг",,,"75,26","79,86","110,51","138,13","136,58","144,18","179,66","186,86","209,75","235,67","241,69","241,07","309,9","314,59","309,11","317,92","347,06","366,74","391,74","432,9","490,65"
Томская область,"Говядина бескостная, кг",,,"97,19","103,8","140,23","172,09","173,75","189,11","243,54","257,21","294,29","314,83","305,74","311,09","377,24","399,02",401,"397,93","445,64","457,54","496,48","566,93","639,93"
Томская область,"Свинина (кроме бескостного мяса), кг",,,"79,41","78,69","115,59","127,88","133,44","142,5","169,13","175,81","180,47","192,37","201,14","202,35","296,61","287,62","285,47","282,2","301,57","293,88","296,23","322,93","327,87"
Томская область,"Куры охлажденные и мороженые, кг",,,"57,89","71,7","71,27","89,51","82,34","90,66","110,93","106,21","103,91","105,94","117,76","110,89","134,46","140,09","143,06","136,69","152,9","147,49","146,65","186,49","178,08"
Томская область,"Окорочка куриные, кг",,,"46,45","59,26","58,19","71,59","62,95","72,02","93,3","95,99","105,45","108,48","121,33","112,37","158,65","163,5","167,68","169,06","181,55","177,82","186,8","223,91","229,57"
Томская область,"Баранина (кроме бескостного мяса), кг",,,"87,59","89,54","117,57","161,15","163,64","178,34","194,78","233,23","262,95","273,02","289,91","292,71","332,56","348,01","354,86","362,25","361,1","437,99","472,75","556,81","662,87"
Томская область,"Свинина бескостная, кг",,,,112,"168,95","191,16","185,7","203,29","252,5","247,48","253,9",274,"272,6","266,52","353,26","338,84","342,69","309,65","359,29","358,32","356,94","389,88","379,85"
Томская область,"Мясо индейки,кг",,,,,,,,,,,,,,,,,,"322,72","371,26","396,92","389,82","440,8","439,84"
Томская область,"Колбаса вареная, кг",,,,,,,,,,,,,,"272,31","300,67","355,27","382,04","393,71","420,39","434,73","405,67","433,51","457,23"
Томская область,"Сосиски, сардельки, кг",,,"66,69","70,79","91,54","101,72","110,91","120,88","148,92","153,84","164,38","177,67","196,13","201,66","224,24","259,96","283,45","289,03","321,16","322,54","337,85","381,01","388,97"
Томская область,"Колбаса полукопченая и варено-копченая, кг",,,"98,27","107,17","136,92","153,9","158,61","168,27","208,4","215,74","235,31","272,92","302,61","322,56","344,54","403,43","430,83","426,32","447,46","455,38","460,63","506,17","501,99"
Томская область,"Колбаса сырокопченая, кг",,,"217,25","245,41","306,82","361,07","383,88","427,7","544,18","572,77","653,69","692,7","730,77","709,21","875,7","960,02","992,65","974,7","990,4","1042,12",1130,"1279,06","1192,66"
Томская область,"Колбаса вареная I сорта, кг",,,"74,82","78,77","98,84","108,85","114,87","126,18","155,43","169,64","184,65","204,22","221,6",,,,,,,,,,
Томская область,"Колбаса вареная высшего сорта, кг",,,"102,92","108,5","131,75","149,99","158,83","179,99",229,"233,54","265,1","284,67","302,33",,,,,,,,,,
Томская область,"Мясокопчености, кг",,,,"166,46","212,22","236,03","246,78","271,75","343,51","350,68","391,65","429,51","434,19","426,35","478,89","547,38","577,55","569,7","585,75","615,72","658,71","759,72","797,44"
Томская область,"Кулинарные изделия из птицы, кг",,,,"95,02","102,8","126,06","130,91","133,52","170,76","180,29","190,89","201,56","215,74","215,68","255,02","265,64","272,91","285,88","297,85","305,79","320,98","367,13","392,21"
Томская область,"Консервы мясные,  350 г",,,"31,92","33,71","36,09","42,14","43,42","45,59","61,18","63,1","62,72","66,75","68,44","73,47","89,88",107,"106,41","111,25","113,56","124,11","124,95",,
Томская область,"Консервы мясные для детского питания, кг",,,,,,,,,,,,,,,,,,"712,19","697,28",794,"813,97","894,8","1098,35"
Томская область,"Рыба живая и охлажденная, кг",,,,,,,,"194,15","201,81","260,31","280,31","309,74","260,35","304,41","326,69","375,01","374,12","379,93","393,28","450,14","430,18","464,36","475,97"
Томская область,"Рыба охлажденная и мороженая разделанная лососевых пород, кг",,,,,,,,,"136,66","148,7","177,35","172,54","173,14","174,51","224,16","280,82","259,98","497,62","486,58","463,79","532,66","644,42","701,28"
Томская область,"Филе рыбное, кг",,,,,,,,,"124,73","124,78","130,07","151,83","154,21","149,88","190,19","232,62","232,72","234,93","308,69","325,11","331,38","359,57","422,18"
Томская область,"Рыба соленая, маринованная, копченая, кг",,,"76,32","88,22","109,83","132,84","142,61","152,49","183,42","194,96","219,16","244,46","256,71","244,08","299,5","344,61","356,64","390,2","396,22","439,14","479,98","525,26","590,77"
